Ticket ID,Issue Type,Case Owner,Street Address,City,Zip / Postal Code,Neighborhood / District / Ward / etc.,Ticket Created Date / Time,Ticket Closed Date / Time,Latitude,Longitude,Method Received
17-10474475,TRAFFIC SIGNAL OUT OF SYNC WITH OTHER TRAFFIC SIGNALS (SAME DIRECTION OF TRAVEL),Public_Works_traffic_Signals_And_Signs-15-60,9700 SW 88TH ST,Miami_Dade_County,33176,District 7,12/15/2017 07:34:06 AM,01/03/2018 12:00:00 AM,25.687457,-80.34972,PHONE
17-10474482,JUNK AND TRASH / OVERGROWTH,Regulatory_and_Economic_Resources,12212 SW 220TH ST,Miami_Dade_County,33170,District 9,12/15/2017 07:39:24 AM,,25.562316,-80.388991,XTERFACE
17-10474479,DANGEROUS DOG INVESTIGATION,Animal_Services,13341 SW 88TH TER,Miami_Dade_County,33186,District 7,12/15/2017 07:40:07 AM,01/20/2018 11:00:43 AM,25.685113,-80.410618,PHONE
17-10474494,AUTO REPAIRS - RESIDENTIAL,Regulatory_and_Economic_Resources,9933 SW 157TH ST,Miami_Dade_County,33157,District 9,12/15/2017 07:48:15 AM,12/19/2017 03:00:05 PM,25.624433,-80.35415,XTERFACE
17-10474488,STRAY DOG PICK UP - MD,Animal_Services,13070 SW 260TH ST,Miami_Dade_County,33032,District 9,12/15/2017 07:48:29 AM,12/16/2017 05:56:01 PM,25.525508,-80.402967,PHONE
17-10474490,TRAFFIC SIGNAL OUT OF SYNC WITH OTHER TRAFFIC SIGNALS (SAME DIRECTION OF TRAVEL),Public_Works_traffic_Signals_And_Signs-15-60,N KENDALL DR & SW 97TH AVE,Miami_Dade_County,33176,District 7,12/15/2017 07:50:33 AM,,25.687512,-80.349709,PHONE
17-10474495,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,14221 SW 120TH ST,Miami_Dade_County,33186,District 11,12/15/2017 07:52:33 AM,01/04/2018 01:12:05 PM,25.656036,-80.42524,XTERFACE
17-10474496,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,14955 SW 88TH ST,Miami_Dade_County,33196,District 11,12/15/2017 07:53:43 AM,01/04/2018 02:24:05 PM,25.685459,-80.434983,XTERFACE
17-10474499,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,8442 SW 40TH ST,Miami_Dade_County,33155,District 10,12/15/2017 07:54:38 AM,12/19/2017 12:27:05 PM,25.73292,-80.332229,XTERFACE
17-10474521,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,6550 SW 40TH ST,Miami_Dade_County,33155,District 7,12/15/2017 07:55:59 AM,12/22/2017 11:51:05 AM,25.733095,-80.301888,XTERFACE
17-10474498,JUNK AND TRASH / OVERGROWTH,Regulatory_and_Economic_Resources,12208 SW 220TH ST,Miami_Dade_County,33170,District 9,12/15/2017 07:56:45 AM,01/08/2018 12:12:05 PM,25.562249,-80.388821,XTERFACE
17-10474529,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,,,,District 10,12/15/2017 07:57:36 AM,12/19/2017 02:57:05 PM,25.74662,-80.335381,XTERFACE
17-10475876,DEBRIS ON ROADWAY DRIVING SURFACE,Public_Works_Road_And_Bridges-16-60,16898 NW 70TH AVE,Miami_Dade_County,33015,District 13,12/15/2017 07:58:00 AM,12/15/2017 12:00:00 AM,25.926166,-80.315731,XTERFACE
17-10474503,ADDRESS HOUSE NUMBER NOT DISPLAY,Regulatory_and_Economic_Resources,12800 SW 117TH ST,Miami_Dade_County,33186,District 8,12/15/2017 07:59:15 AM,,25.658765,-80.401135,XTERFACE
17-10474508,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,9000 SW 137TH AVE,Miami_Dade_County,33186,District 11,12/15/2017 07:59:26 AM,12/29/2017 01:12:05 PM,25.682851,-80.417697,XTERFACE
17-10474512,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,7624 SW 146TH CT,Miami_Dade_County,33183,District 11,12/15/2017 08:00:59 AM,12/21/2017 02:39:05 PM,25.69562,-80.430064,XTERFACE
17-10474500,ANIMAL SERVICES DOG TAG,Animal_Services,1801 SW 104TH AVE,Miami_Dade_County,33165,District 10,12/15/2017 08:01:06 AM,12/15/2017 08:01:06 AM,25.75234,-80.363545,WALKIN
17-10474501,STRAY / DOG-AT-LARGE,Animal_Services,11344 SW 73RD TER,Miami_Dade_County,33173,District 10,12/15/2017 08:01:48 AM,12/15/2017 03:50:11 PM,25.699488,-80.376045,PHONE
17-10474530,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,8040 SW 69TH AVE,Miami_Dade_County,33143,District 7,12/15/2017 08:02:06 AM,,25.695518,-80.305648,XTERFACE
17-10474502,POTHOLE,Public_Works_Road_And_Bridges-16-60,NE 135TH ST & MEMORIAL HWY,Miami_Dade_County,33161,District 2,12/15/2017 08:02:46 AM,12/26/2017 12:00:00 AM,25.89906,-80.194195,EMAIL
17-10474513,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,5801 SW 137TH AVE,Miami_Dade_County,33183,District 10,12/15/2017 08:03:13 AM,12/20/2017 12:45:05 PM,25.712545,-80.414296,XTERFACE
17-10474531,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,9485 SW 72ND ST,Miami_Dade_County,33173,District 10,12/15/2017 08:04:17 AM,12/27/2017 03:51:05 PM,25.702681,-80.347676,XTERFACE
17-10474532,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,3621 SW 107TH AVE,Miami_Dade_County,33165,District 10,12/15/2017 08:05:49 AM,12/27/2017 09:54:05 AM,25.735364,-80.367477,XTERFACE
17-10474515,JUNK AND TRASH / OVERGROWTH,Regulatory_and_Economic_Resources,4050 NW 26TH ST,Miami_Dade_County,33142,District 6,12/15/2017 08:06:07 AM,,25.7993,-80.262922,XTERFACE
17-10474514,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,4001 SW 152ND AVE,Miami_Dade_County,33185,District 11,12/15/2017 08:07:02 AM,12/27/2017 03:12:05 PM,25.729807,-80.43813,XTERFACE
17-10474518,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,13200 SW 8TH ST,Miami_Dade_County,33184,District 11,12/15/2017 08:08:09 AM,12/18/2017 11:18:05 AM,25.760318,-80.410547,XTERFACE
17-10474517,TRAFFIC SIGN DOWN DAMAGED FADED MISSING (OTHER THAN CONTROL SIGN),Public_Works_Traffic_Engineering-10-60,NE 15TH TER & BISCAYNE BLVD,City_of_Miami,33132,District 3,12/15/2017 08:11:27 AM,12/16/2017 12:00:00 AM,25.789996,-80.189086,EMAIL
17-10474522,TREE TRIMMING (RAAM),RAAM-27-93,8653 SW 133RD PL,Miami_Dade_County,33183,District 10,12/15/2017 08:12:47 AM,,25.686494,-80.408366,IPHONE
17-10474527,TRAFFIC SIGN DOWN DAMAGED FADED MISSING (OTHER THAN CONTROL SIGN),Public_Works_Traffic_Engineering-10-60,10000 N SNAPPER CREEK DR,Miami_Dade_County,33173,District 10,12/15/2017 08:14:22 AM,12/16/2017 12:00:00 AM,25.696795,-80.355903,PHONE
17-10474528,ILLEGAL DUMPING / LITTER,COM_Code_Enforcement,434 SW 12TH AVE,City_of_Miami,33130,District 5,12/15/2017 08:14:34 AM,01/19/2018 09:46:30 AM,25.768828,-80.214976,PHONE
17-10474535,RIGHT OF WAY - MAINTENANCE,Regulatory_and_Economic_Resources,SW 138TH ST & SW 92ND AVE,Miami_Dade_County,33176,District 8,12/15/2017 08:16:49 AM,12/22/2017 10:33:05 AM,25.642153,-80.341198,PHONE
17-10474544,DEAD ANIMAL PICKUP MD,Animal_Services,NW 202ND ST & NW 57TH AVE,Miami_Dade_County,33015,District 1,12/15/2017 08:23:46 AM,12/17/2017 01:42:58 PM,25.956905,-80.294533,PHONE
17-10474543,TREE TRIMMING (RAAM),RAAM-27-93,SW 138TH ST & SW 92ND AVE,Miami_Dade_County,33176,District 8,12/15/2017 08:23:48 AM,01/18/2018 12:18:58 PM,25.642153,-80.341198,PHONE
17-10474550,ILLEGAL DUMPING / LITTER,COM_Code_Enforcement,4720 N MIAMI AVE,City_of_Miami,33127,District 3,12/15/2017 08:26:33 AM,12/20/2017 08:17:11 AM,25.819114,-80.195937,IPHONE
17-10474554,DEAD ANIMAL PICKUP MD,Animal_Services,2698 NW 39TH ST,Miami_Dade_County,33142,District 2,12/15/2017 08:27:56 AM,12/16/2017 12:21:46 PM,25.811961,-80.239606,PHONE
17-10474571,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,11865 SW 26TH ST,Miami_Dade_County,33175,District 11,12/15/2017 08:36:09 AM,12/15/2017 10:00:05 AM,25.747747,-80.388462,XTERFACE
17-10474570,JUNK AND TRASH / OVERGROWTH,Regulatory_and_Economic_Resources,17540 CLEVELAND AVE,Miami_Dade_County,33157,District 9,12/15/2017 08:36:33 AM,,25.606832,-80.351459,XTERFACE
17-10474581,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,4155 SW 130TH AVE,Miami_Dade_County,33175,District 11,12/15/2017 08:36:53 AM,12/18/2017 01:48:05 PM,25.730054,-80.405335,XTERFACE
17-10474582,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,7931 SW 40TH ST,Miami_Dade_County,33155,District 10,12/15/2017 08:38:25 AM,12/19/2017 01:00:05 PM,25.733605,-80.32491,XTERFACE
17-10474622,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,4155 SW 130TH AVE,Miami_Dade_County,33175,District 11,12/15/2017 08:39:32 AM,12/18/2017 01:51:05 PM,25.730054,-80.405335,XTERFACE
17-10474574,JUNK AND TRASH / OVERGROWTH,Regulatory_and_Economic_Resources,17045 SW 100TH AVE,Miami_Dade_County,33157,District 9,12/15/2017 08:40:14 AM,12/20/2017 11:21:05 AM,25.61109,-80.352757,PHONE
17-10474575,TRAFFIC SIGN DOWN DAMAGED FADED MISSING (OTHER THAN CONTROL SIGN),Public_Works_Traffic_Engineering-10-60,928 NW 66TH ST,City_of_Miami,33150,District 3,12/15/2017 08:40:23 AM,12/16/2017 12:00:00 AM,25.834937,-80.212191,PHONE
17-10474577,PIT BULL INVESTIGATION,Animal_Services,3501 E 8TH LN,City_of_Hialeah,33013,District 13,12/15/2017 08:41:16 AM,12/22/2017 09:30:11 AM,25.854644,-80.264633,PHONE
17-10474580,ANIMAL SERVICES DOG TAG CHECK,Animal_Services,7228 SW 113TH COURT CIR,Miami_Dade_County,33173,District 10,12/15/2017 08:41:49 AM,12/17/2017 01:51:10 PM,25.699869,-80.375911,PHONE
17-10474587,TRAFFIC SIGNAL RED DISPLAY TOO LONG OR GREEN TOO SHORT,Public_Works_traffic_Signals_And_Signs-15-60,9841 SW 88TH ST,Miami_Dade_County,33176,District 7,12/15/2017 08:43:59 AM,12/15/2017 12:29:32 PM,25.687792,-80.352234,PHONE
17-10474589,TRAFFIC SIGNAL PED LIGHT OR BUTTON INOPERATIVE,Public_Works_traffic_Signals_And_Signs-15-60,S BAYSHORE DR & DARWIN ST,City_of_Miami,33133,District 7,12/15/2017 08:44:50 AM,12/29/2017 12:00:00 AM,25.731121,-80.235307,PHONE
17-10474591,PET ACCOUNT UPDATE,Animal_Services,200 OCEAN LANE DR,Village_of_Key_Biscayne,33149,District 7,12/15/2017 08:45:10 AM,12/18/2017 09:32:21 AM,25.698518,-80.156781,PHONE
17-10474608,STRAY / DOG-AT-LARGE,Animal_Services,2400 NW 2ND AVE,City_of_Miami,33127,District 3,12/15/2017 08:53:23 AM,12/27/2017 07:52:01 PM,25.800324,-80.199242,PHONE
17-10474610,INJURED ANIMAL,Animal_Services,2910 SE 13TH RD,City_of_Homestead,33035,District 9,12/15/2017 08:53:56 AM,12/15/2017 10:06:01 AM,25.442149,-80.457471,PHONE
17-10474611,DEAD ANIMAL PICKUP MD,Animal_Services,15213 SW 152ND AVE,Miami_Dade_County,33187,District 9,12/15/2017 08:54:04 AM,12/16/2017 12:23:10 PM,25.624861,-80.438507,WEB
17-10474615,JUNK AND TRASH / OVERGROWTH,Regulatory_and_Economic_Resources,13699 SW 192ND ST,Miami_Dade_County,33177,District 8,12/15/2017 08:56:18 AM,12/18/2017 07:12:05 AM,25.587979,-80.413185,WEB
17-10474628,BOAT STORAGE,Regulatory_and_Economic_Resources,3275 NW 95TH ST,Miami_Dade_County,33147,District 2,12/15/2017 08:57:18 AM,12/27/2017 09:30:05 AM,25.86021,-80.251367,XTERFACE
17-10474625,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,4155 SW 130TH AVE,Miami_Dade_County,33175,District 11,12/15/2017 08:57:47 AM,12/18/2017 01:51:05 PM,25.730054,-80.405335,XTERFACE
17-10474627,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,4155 SW 130TH AVE,Miami_Dade_County,33175,District 11,12/15/2017 08:58:44 AM,12/18/2017 01:54:05 PM,25.730054,-80.405335,XTERFACE
17-10474619,DRAIN CLOGGED / CLEANING,Public_Works_Road_And_Bridges-16-60,16345 SW 280TH ST,Miami_Dade_County,33031,District 8,12/15/2017 08:59:56 AM,,25.506882,-80.455981,PHONE
17-10474623,STRAY / DOG-AT-LARGE,Animal_Services,1234 NW 11TH ST,City_of_Miami,33125,District 5,12/15/2017 09:00:08 AM,01/01/2018 09:36:40 AM,25.783956,-80.215087,PHONE
17-10474636,TRAFFIC SIGNAL RED DISPLAY TOO LONG OR GREEN TOO SHORT,Public_Works_traffic_Signals_And_Signs-15-60,SW 128TH ST & S DIXIE HWY,City_of_Pinecrest,33156,District 7,12/15/2017 09:06:12 AM,12/29/2017 12:00:00 AM,25.651374,-80.330631,PHONE
17-10474647,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,2460 SW 137TH AVE,Miami_Dade_County,33175,District 11,12/15/2017 09:10:10 AM,,25.744216,-80.417015,XTERFACE
17-10474655,STRUCTURE MAINTENANCE - UPKEEP,Regulatory_and_Economic_Resources,17540 CLEVELAND AVE,Miami_Dade_County,33157,District 9,12/15/2017 09:11:19 AM,,25.606832,-80.351459,XTERFACE
17-10474646,ABANDONED PROPERTY / VEHICLE,Regulatory_and_Economic_Resources,1170 NW 111TH ST,Miami_Dade_County,33168,District 2,12/15/2017 09:11:38 AM,12/18/2017 02:30:05 PM,25.875962,-80.218069,EMAIL
17-10474680,FAILURE TO OBTAIN A CERTIFICATE OF USE,Regulatory_and_Economic_Resources,14341 SW 120TH ST,Miami_Dade_County,33186,District 11,12/15/2017 09:11:44 AM,01/04/2018 01:03:05 PM,25.656665,-80.427095,XTERFACE
17-10474648,PET ACCOUNT UPDATE,Animal_Services,523 E 20TH ST,City_of_Hialeah,33013,District 6,12/15/2017 09:13:01 AM,12/18/2017 09:27:56 AM,25.840289,-80.271471,PHONE
17-10474649,TRAFFIC SIGN DOWN DAMAGED FADED MISSING (OTHER THAN CONTROL SIGN),Public_Works_Traffic_Engineering-10-60,8450 SW 48TH ST,Miami_Dade_County,33155,District 10,12/15/2017 09:13:32 AM,12/16/2017 12:00:00 AM,25.72398,-80.331955,PHONE
17-10480345,POTHOLE,Public_Works_Road_And_Bridges-16-60,21014 SW 125TH AVENUE RD,Miami_Dade_County,33177,District 9,12/15/2017 09:14:00 AM,12/15/2017 12:00:00 AM,25.572059,-80.394653,XTERFACE
17-10480344,POTHOLE,Public_Works_Road_And_Bridges-16-60,10821 SW 158TH ST,Miami_Dade_County,33157,District 9,12/15/2017 09:14:00 AM,12/15/2017 12:00:00 AM,25.622611,-80.369148,XTERFACE
17-10480343,POTHOLE,Public_Works_Road_And_Bridges-16-60,10798 SW 160TH ST,Miami_Dade_County,33157,District 9,12/15/2017 09:14:00 AM,12/15/2017 12:00:00 AM,25.620449,-80.368331,XTERFACE
17-10480342,POTHOLE,Public_Works_Road_And_Bridges-16-60,10798 SW 160TH ST,Miami_Dade_County,33157,District 9,12/15/2017 09:14:00 AM,12/15/2017 12:00:00 AM,25.620449,-80.368331,XTERFACE
17-10480341,POTHOLE,Public_Works_Road_And_Bridges-16-60,10798 SW 160TH ST,Miami_Dade_County,33157,District 9,12/15/2017 09:14:00 AM,12/15/2017 12:00:00 AM,25.620449,-80.368331,XTERFACE
17-10480340,POTHOLE,Public_Works_Road_And_Bridges-16-60,16805 SW 97TH AVE,Miami_Dade_County,33157,District 9,12/15/2017 09:14:00 AM,12/15/2017 12:00:00 AM,25.61343,-80.348918,XTERFACE
17-10474658,DEAD ANIMAL PICKUP MD,Animal_Services,SW 218TH ST & SW 122ND AVE,Miami_Dade_County,33170,District 9,12/15/2017 09:19:02 AM,12/15/2017 01:31:01 PM,25.564346,-80.38862,PHONE
17-10474660,ABANDONED PROPERTY / VEHICLE,Regulatory_and_Economic_Resources,450 NW 116TH ST,Miami_Dade_County,33168,District 3,12/15/2017 09:19:29 AM,01/02/2018 02:09:05 PM,25.88093,-80.2062,EMAIL
17-10474683,JUNK AND TRASH / OVERGROWTH,Regulatory_and_Economic_Resources,3276 NW 95TH ST,Miami_Dade_County,33147,District 2,12/15/2017 09:21:32 AM,01/19/2018 02:03:05 PM,25.859698,-80.251343,XTERFACE
17-10474663,SIGN - VIOLATION ON PRIVATE PROPERTY,Regulatory_and_Economic_Resources,18820 W LAKE DR,Miami_Dade_County,33015,District 1,12/15/2017 09:21:33 AM,12/20/2017 02:42:05 PM,25.94484,-80.322556,PHONE
17-10474677,JUNK AND TRASH / OVERGROWTH,Regulatory_and_Economic_Resources,22050 SW 122ND AVE,Miami_Dade_County,33170,District 9,12/15/2017 09:22:04 AM,01/08/2018 12:18:05 PM,25.562131,-80.388798,XTERFACE
17-10474666,FAILURE TO OBTAIN ZONING PERMIT,Regulatory_and_Economic_Resources,450 NW 116TH ST,Miami_Dade_County,33168,District 3,12/15/2017 09:22:37 AM,12/20/2017 10:36:05 AM,25.88093,-80.2062,EMAIL
17-10474671,UNUSUAL USE OF PROPERTY,Regulatory_and_Economic_Resources,450 NW 116TH ST,Miami_Dade_County,33168,District 3,12/15/2017 09:24:39 AM,,25.88093,-80.2062,INHOUSE
17-10474685,FAILURE TO OBTAIN ZONING PERMIT,Regulatory_and_Economic_Resources,3276 NW 95TH ST,Miami_Dade_County,33147,District 2,12/15/2017 09:24:53 AM,,25.859698,-80.251343,XTERFACE
17-10474681,UNAUTHORIZED USE - RESIDENTIAL / BUSINESS,Regulatory_and_Economic_Resources,15005 NW 11TH AVE,Miami_Dade_County,33168,District 2,12/15/2017 09:25:59 AM,,25.911991,-80.218005,XTERFACE
17-10474695,JUNK AND TRASH / OVERGROWTH,Regulatory_and_Economic_Resources,22012 SW 122ND AVE,Miami_Dade_County,33170,District 9,12/15/2017 09:29:18 AM,,25.562422,-80.38872,XTERFACE
17-10474688,GRAFFITI ON COUNTY PROPERTY OR ROW,Public_Works_Road_And_Bridges-16-60,W DIXIE HWY & NE 191ST ST,Miami_Dade_County,33180,District 4,12/15/2017 09:30:03 AM,12/18/2017 12:00:00 AM,25.952078,-80.148983,EMAIL
17-10474706,PET ACCOUNT UPDATE,Animal_Services,2777 SW 32ND CT,City_of_Miami,33133,District 7,12/15/2017 09:37:13 AM,12/18/2017 09:25:30 AM,25.739735,-80.246721,PHONE
17-10474708,CANAL - CLEANING,Public_Works_Road_And_Bridges-16-60,3320 SW 72ND AVE,Miami_Dade_County,33155,District 6,12/15/2017 09:39:28 AM,01/02/2018 12:00:00 AM,25.739154,-80.311476,PHONE
